Tweet,Sentiment
RT @jimkchin: So good. Congrats Adam! https://t.co/Ft9uXueEZL,positive
"Adam Ondra shows what hard training, commitment and focus look like. Amanzing.",neutral
Silence https://t.co/DNm2bicPuN via @YouTube,neutral
Daniel Woods attains new personal heights by making the third ascent of Adam Ondra’s La Capella (9b/5.15b) in Siura… https://t.co/ItlY1wa9og,neutral
RT @SkiHikeClimb: #Mountain: Adam Ondra live streaming of the Silence premiere at Riva del Garda https://t.co/LJrwfODCmE via @Planetmountai…,neutral
RT @climbermagazine: Following his incredible flash on Super Crackinette (F9a+) Adam Ondra talks about the experience. https://t.co/v8GaeyO…,neutral
Adam Ondra #CR dal Pure Dreaming za 9a+ #Arco,neutral
FRI NIGHT VID: Live Premiere of Adam Ondra's Silence https://t.co/aNDgBX0w52 https://t.co/eIVlQCriUS,neutral
Watching Adam Ondra sending the first 9c was crazy. TAAAHHHH TAAAHHHHH TAAAAHHHH HARRGHHHH!!,positive
@burningredberry Adam Ondra just send the world's first 9c 'Silence'.,neutral
https://t.co/KM8BdQTdgY,neutral
"RT @EpicTVClimbing: Raw Footage: Adam Ondra sending a 9a+ FA in Arco, Italy | Relais Vertical (Bonus) https://t.co/Ced0v5Ohj4 via @YouTube…",neutral
"Raw Footage: Adam Ondra sending a 9a+ FA in Arco, Italy | Relais Vertical (Bonus) https://t.co/Ced0v5Ohj4 via… https://t.co/SJhLC5dLZD",neutral
"Raw Footage: Adam Ondra sending a 9a+ FA in Arco, Italy | Relais Vertical (Bonus) https://t.co/upFvXMr8SF via… https://t.co/mcqTRE5ll0",neutral
RT @JakeDeYoung: Adam Ondra is a recent inspiration to continue to get even stronger at climbing.,positive
He set the world’s hardest climb and is…,neutral
"RT @lasportivatwitt: #ICYMI: the world's first 9c movie is available free to watch on YouTube, thanks to protagonist Adam Ondra and directo…",neutral
After a little inspiration from the main man (Adam Ondra: https://t.co/afQqdzkeHw) This needed to be... https://t.co/kQXvUQxYW1,neutral
"RT @StefanoGhisolfi: After Silence premiere in @gardatrentino , @adam.ondra went to Massone and climbed a new hard route, in few days the v…",neutral
What it takes to climb the world’s first 9c? Let’s find out in Silence by Adam Ondra! https://t.co/lz94SkDzk3,neutral
"RT @StefanoGhisolfi: After Silence premiere in @gardatrentino , @adam.ondra went to Massone and climbed a new hard route, in few days the v…",neutral
"RT @StefanoGhisolfi: After Silence premiere in @gardatrentino , @adam.ondra went to Massone and climbed a new hard route, in few days the v…",neutral
"RT @StefanoGhisolfi: After Silence premiere in @gardatrentino , @adam.ondra went to Massone and climbed a new hard route, in few days the v…",neutral
"RT @StefanoGhisolfi: After Silence premiere in @gardatrentino , @adam.ondra went to Massone and climbed a new hard route, in few days the v…",neutral
"Adam Ondra has done the FA of the link-up Underground into Pure Dreaming 9a+ in Massone, #Arco, #Italy.… https://t.co/qKYZ8bmlip",neutral
RT @GrippedMagazine: Watch Adam Ondra send the world's first 5.15d! This video is amazing. Maybe the best sport climbing film ever made,positive
htt…,neutral
RT @WatchEpicTV: The story behind @AdamOndraCZ climbing the world's first 9c.,neutral
Watch 'Silence' here: https://t.co/g1kzb6n0Os,neutral
"RT @lasportivatwitt: #ICYMI: the world's first 9c movie is available free to watch on YouTube, thanks to protagonist Adam Ondra and directo…",neutral
Adam Ondra is a recent inspiration to continue to get even stronger at climbing.,positive
He set the world’s hardest climb… https://t.co/P2ycmBCPbe,neutral
RT @GrippedMagazine: Watch Adam Ondra send the world's first 5.15d! This video is amazing. Maybe the best sport climbing film ever made,positive
htt…,neutral
"I liked a @YouTube video https://t.co/TZHZWnmkWC Adam Ondra Tries Ballet, And International Women's Sends: Brian On The Bog | Climbing",neutral
"The process of Adam Ondra (@AdamOndraCZ) climbing Silence is fascinating. A love of movement, choreography and expl… https://t.co/Gs3jTNgAe8",positive
RT @GrippedMagazine: Watch Adam Ondra send the world's first 5.15d! This video is amazing. Maybe the best sport climbing film ever made,positive
htt…,neutral
Watch Adam Ondra send the world's first 5.15d! This video is amazing. Maybe the best sport climbing film ever made… https://t.co/N5W2MpqBkT,positive
RT @DepotBirmingham: We are so fortunate to be living in a time when we can watch footage like this of,positive
the worlds best climber - climbing…,positive
"RT @lasportivatwitt: #ICYMI: the world's first 9c movie is available free to watch on YouTube, thanks to protagonist Adam Ondra and directo…",neutral
Adam Ondra Climbs His 100th 5.14d https://t.co/ubOMOOtNa9,neutral
Monday morning inspiration. Watch Adam Ondra climb the world's hardest route. This athlete trains with an... https://t.co/kbLeVenmzJ,neutral
The story behind @AdamOndraCZ climbing the world's first 9c.,neutral
Watch 'Silence' here: https://t.co/g1kzb6n0Os,neutral
The story behind @AdamOndraCZ climbing the world's first 9c.,neutral
Watch 'Silence' here: https://t.co/oO4FFhn8P4 https://t.co/fDYi7XFRn1,neutral
"RT @lasportivatwitt: #ICYMI: the world's first 9c movie is available free to watch on YouTube, thanks to protagonist Adam Ondra and directo…",neutral
Just watch this! A beautiful movie from Adam ondra's Silence send https://t.co/DLJANpgPi0,positive
"RT @lasportivatwitt: #ICYMI: the world's first 9c movie is available free to watch on YouTube, thanks to protagonist Adam Ondra and directo…",neutral
"RT @lasportivatwitt: #ICYMI: the world's first 9c movie is available free to watch on YouTube, thanks to protagonist Adam Ondra and directo…",neutral
"RT @lasportivatwitt: #ICYMI: the world's first 9c movie is available free to watch on YouTube, thanks to protagonist Adam Ondra and directo…",neutral
"#ICYMI: the world's first 9c movie is available free to watch on YouTube, thanks to protagonist Adam Ondra and dire… https://t.co/NUJ59AbDYs",positive
RT @OnBouldering: Performance Analysis of Adam Ondra’s Breakthrough Ascent of the World’s First 5.15d/9c | Training For Climbing - by Eric…,neutral
"Adam Ondra #CR dal X-Large 8c+, Pure Dreaming 9a #Arco",positive
Adam Ondra climbs his 100th 5.14d!,positive
https://t.co/FNtBkcc2H0,neutral
#climbing #adamondra #rockclimbing #outdoors #mountains https://t.co/amzVSGHC6F,neutral
"RT @SenderFilms: Alright, this is cool: the new short film about Adam Ondra completing the world's hardest single pitch rock... https://t.c…",positive
RT @DepotManchester: We are so fortunate to be living in a time when we can watch footage like this of,positive
the worlds best climber - climbing…,positive
We are so fortunate to be living in a time when we can watch footage like this of,negative
the worlds best climber - climbi… https://t.co/jiOcXkfLg2,neutral
We are so fortunate to be living in a time when we can watch footage like this of,negative
the worlds best climber - climbi… https://t.co/upF28K6NF7,neutral
We are so fortunate to be living in a time when we can watch footage like this of,negative
the worlds best climber - climbi… https://t.co/YbgoLroRyn,neutral
We are so fortunate to be living in a time when we can watch footage like this of,negative
the worlds best climber - climbi… https://t.co/BOYzKMN6E5,neutral
"What does it take to climb the world's hardest route? Watch Adam Ondra training to climb Silence, the world's first… https://t.co/vdAaMx6HGd",neutral
Todos tienen que verlo...Everyone should watch it!!! Hats off to Adam Ondra... https://t.co/4KT2sxqg1l,neutral
RT @OnBouldering: Performance Analysis of Adam Ondra’s Breakthrough Ascent of the World’s First 5.15d/9c | Training For Climbing - by Eric…,neutral
Performance Analysis of Adam Ondra’s Breakthrough Ascent of the World’s First 5.15d/9c | Training For Climbing - by… https://t.co/1K2pmMIK23,neutral
"RT jimkchin ""So good. Congrats Adam! https://t.co/EL7ZsSTQKp""",positive
"RT @StefanoGhisolfi: Watching the premiere of Silence, first 9c in the world climbed by @adam.ondra , was very inspiring and motivating. No…",positive
Want to watch a 17 minute climbing film about Adam Ondra's Silence? From the man who perfected the power scream... https://t.co/9VigoA1DpM,neutral
RT @EveningSends: Adam Ondra: Silence. The story behind the world's first 9c is here -&gt; https://t.co/kl5cg0fTYd https://t.co/JBbn8IxVNV,neutral
RT @CliffsClimbing: Adam Ondra sending the world's hardest route. Worth the watch. https://t.co/QlZ3QeYlpF,neutral
"After Silence premiere in @gardatrentino , @adam.ondra went to Massone and climbed a new hard route, in few days th… https://t.co/gMxg6ybD0E",neutral
"RT @Train4Climbing: With the release of the awesome internet movie, SILENCE, I spent  yesterday analyzing the incredible send footage of Ad…",positive
Adam Ondra sending the world's hardest route. Worth the watch. https://t.co/QlZ3QeYlpF,neutral
Adam Ondra’s climbing story https://t.co/W3VtsBjOwt,neutral
"With the release of the awesome internet movie, SILENCE, I spent  yesterday analyzing the incredible send footage o… https://t.co/nXMGRFqIgf",positive
RT @jimkchin: So good. Congrats Adam! https://t.co/Ft9uXueEZL,positive
"RT @StefanoGhisolfi: Watching the premiere of Silence, first 9c in the world climbed by @adam.ondra , was very inspiring and motivating. No…",positive
"Watching the premiere of Silence, first 9c in the world climbed by @adam.ondra , was very inspiring and motivating.… https://t.co/NWsLg4Xyjk",positive
"""Silence—The Story of Adam Ondra and the World's First 5.15d"" https://t.co/k0wrRaDI8t",neutral
"Adam Ondra's "" Silence "" Worlds first 9C https://t.co/gism84oPEi",neutral
RT @jimkchin: So good. Congrats Adam! https://t.co/Ft9uXueEZL,positive
RT @UKClimbing: Our Friday Night Video this week is the live premiere of the film that features Adam Ondra's ascent of the world'... https:…,positive
